run_id,lr,optimizer,dropout,num_filters,batch_norm,pooling,best_val_acc,val_epoch,train_acc_at_best_val,test_acc,test_precision,test_recall,test_f1
opt-Adam_nb-3_bn-True_pool-none_dr-0.0,0.001,Adam,0,3,TRUE,none,0.76300784,38,0.831314571,0.741666667,0.742280388,0.741532248,0.740947732
opt-Adam_nb-3_bn-True_pool-max_dr-0.0,0.001,Adam,0,3,TRUE,max,0.786528867,29,0.83594585,0.781666667,0.785802281,0.781953684,0.783115377
opt-Adam_nb-3_bn-True_pool-avg_dr-0.0,0.001,Adam,0,3,TRUE,avg,0.78510335,47,0.853936587,0.768666667,0.770445372,0.769135847,0.76943553
opt-Adam_nb-3_bn-True_pool-none_dr-0.1,0.001,Adam,0.1,3,TRUE,none,0.758018532,32,0.829889562,0.751,0.751101993,0.75159143,0.751139405
opt-Adam_nb-3_bn-True_pool-max_dr-0.1,0.001,Adam,0.1,3,TRUE,max,0.802209551,26,0.837905237,0.792333333,0.795382592,0.791096336,0.792102688
opt-Adam_nb-3_bn-True_pool-avg_dr-0.1,0.001,Adam,0.1,3,TRUE,avg,0.767284391,16,0.790523691,0.759,0.761198649,0.759359564,0.75976741
opt-Adam_nb-3_bn-True_pool-none_dr-0.3,0.001,Adam,0.3,3,TRUE,none,0.75017819,28,0.787762736,0.74,0.740701064,0.739692896,0.740100719
opt-Adam_nb-3_bn-True_pool-max_dr-0.3,0.001,Adam,0.3,3,TRUE,max,0.780114041,24,0.817776986,0.781,0.78438553,0.781838548,0.78200497
opt-Adam_nb-3_bn-True_pool-avg_dr-0.3,0.001,Adam,0.3,3,TRUE,avg,0.780470421,33,0.83273958,0.770666667,0.773601202,0.770944427,0.771739333
opt-AdamW_nb-3_bn-True_pool-none_dr-0.0,0.001,AdamW,0,3,TRUE,none,0.735566643,42,0.79079088,0.723,0.723266817,0.722065345,0.722083309
opt-AdamW_nb-3_bn-True_pool-max_dr-0.0,0.001,AdamW,0,3,TRUE,max,0.75873129,18,0.741360884,0.752333333,0.754776706,0.754910757,0.754052107
opt-AdamW_nb-3_bn-True_pool-avg_dr-0.0,0.001,AdamW,0,3,TRUE,avg,0.755523877,20,0.781439259,0.754666667,0.757340789,0.754932051,0.755668473
opt-AdamW_nb-3_bn-True_pool-none_dr-0.1,0.001,AdamW,0.1,3,TRUE,none,0.733428368,15,0.735660848,0.719333333,0.720116451,0.718130744,0.717941598
opt-AdamW_nb-3_bn-True_pool-max_dr-0.1,0.001,AdamW,0.1,3,TRUE,max,0.761582324,27,0.771018881,0.761333333,0.763517106,0.762355467,0.762632068
opt-AdamW_nb-3_bn-True_pool-avg_dr-0.1,0.001,AdamW,0.1,3,TRUE,avg,0.760513186,13,0.76077663,0.756,0.757294127,0.75723071,0.75688959
opt-AdamW_nb-3_bn-True_pool-none_dr-0.3,0.001,AdamW,0.3,3,TRUE,none,0.739130435,26,0.788920556,0.719,0.717551684,0.71873555,0.717367239
opt-AdamW_nb-3_bn-True_pool-max_dr-0.3,0.001,AdamW,0.3,3,TRUE,max,0.769779045,21,0.775293908,0.766,0.768590422,0.76541314,0.766280478
opt-AdamW_nb-3_bn-True_pool-avg_dr-0.3,0.001,AdamW,0.3,3,TRUE,avg,0.76764077,32,0.803081582,0.761333333,0.763378113,0.762299764,0.762282666
opt-Adam_nb-5_bn-True_pool-none_dr-0.0,0.001,Adam,0,5,TRUE,none,0.744476123,23,0.785803349,0.733333333,0.732784049,0.733056241,0.732334345
opt-Adam_nb-5_bn-True_pool-max_dr-0.0,0.001,Adam,0,5,TRUE,max,0.805060584,47,0.864713217,0.794666667,0.798738896,0.79528663,0.795855406
opt-Adam_nb-5_bn-True_pool-avg_dr-0.0,0.001,Adam,0,5,TRUE,avg,0.794369209,25,0.851620948,0.783333333,0.786106121,0.78511221,0.784947542
opt-Adam_nb-5_bn-True_pool-none_dr-0.1,0.001,Adam,0.1,5,TRUE,none,0.723093371,20,0.737531172,0.711333333,0.711075537,0.710934268,0.709714862
opt-Adam_nb-5_bn-True_pool-max_dr-0.1,0.001,Adam,0.1,5,TRUE,max,0.800071276,15,0.813323833,0.786,0.78948825,0.788019896,0.788107994
opt-Adam_nb-5_bn-True_pool-avg_dr-0.1,0.001,Adam,0.1,5,TRUE,avg,0.804704205,21,0.830156751,0.78,0.783476144,0.781048803,0.780400554
opt-Adam_nb-5_bn-True_pool-none_dr-0.3,0.001,Adam,0.3,5,TRUE,none,0.720955096,24,0.752137513,0.714666667,0.715067257,0.713957101,0.713487471
opt-Adam_nb-5_bn-True_pool-max_dr-0.3,0.001,Adam,0.3,5,TRUE,max,0.795438346,22,0.852689704,0.789,0.792527298,0.789844207,0.790791594
opt-Adam_nb-5_bn-True_pool-avg_dr-0.3,0.001,Adam,0.3,5,TRUE,avg,0.795794726,19,0.836747417,0.783333333,0.7881205,0.783090929,0.784465514
opt-AdamW_nb-5_bn-True_pool-none_dr-0.0,0.001,AdamW,0,5,TRUE,none,0.725231646,22,0.739668685,0.72,0.7204358,0.719465675,0.718901226
opt-AdamW_nb-5_bn-True_pool-max_dr-0.0,0.001,AdamW,0,5,TRUE,max,0.774411974,34,0.750623441,0.770666667,0.773333821,0.772340717,0.772072412
opt-AdamW_nb-5_bn-True_pool-avg_dr-0.0,0.001,AdamW,0,5,TRUE,avg,0.765858874,22,0.768792305,0.767,0.770942015,0.767347287,0.767882744
opt-AdamW_nb-5_bn-True_pool-none_dr-0.1,0.001,AdamW,0.1,5,TRUE,none,0.718460442,21,0.704488778,0.706,0.706855461,0.705738514,0.705036177
opt-AdamW_nb-5_bn-True_pool-max_dr-0.1,0.001,AdamW,0.1,5,TRUE,max,0.769422666,18,0.733701461,0.768666667,0.773216809,0.768358314,0.76973179
opt-AdamW_nb-5_bn-True_pool-avg_dr-0.1,0.001,AdamW,0.1,5,TRUE,avg,0.785459729,24,0.85081938,0.778333333,0.781924758,0.778821932,0.779670415
opt-AdamW_nb-5_bn-True_pool-none_dr-0.3,0.001,AdamW,0.3,5,TRUE,none,0.725944405,24,0.756234414,0.717,0.717188231,0.716662766,0.71583584
opt-AdamW_nb-5_bn-True_pool-max_dr-0.3,0.001,AdamW,0.3,5,TRUE,max,0.783677833,22,0.809226933,0.764666667,0.767263275,0.765712236,0.765324823
opt-AdamW_nb-5_bn-True_pool-avg_dr-0.3,0.001,AdamW,0.3,5,TRUE,avg,0.787241625,33,0.906127538,0.774,0.777805559,0.774110771,0.775311293
opt-Adam_nb-7_bn-True_pool-none_dr-0.0,0.001,Adam,0,7,TRUE,none,0.705630791,30,0.730584254,0.681666667,0.680874386,0.680002105,0.679236741
opt-Adam_nb-7_bn-True_pool-max_dr-0.0,0.001,Adam,0,7,TRUE,max,0.788310763,11,0.73512647,0.769333333,0.773311622,0.772233592,0.771039741
opt-Adam_nb-7_bn-True_pool-avg_dr-0.0,0.001,Adam,0,7,TRUE,avg,0.787954383,9,0.768970431,0.764,0.78019912,0.762820578,0.764212734
opt-Adam_nb-7_bn-True_pool-none_dr-0.1,0.001,Adam,0.1,7,TRUE,none,0.710976479,35,0.769148557,0.695,0.692636237,0.693916234,0.692550231
opt-Adam_nb-7_bn-True_pool-max_dr-0.1,0.001,Adam,0.1,7,TRUE,max,0.810762651,21,0.840755255,0.8,0.804143469,0.799980859,0.801325297
opt-Adam_nb-7_bn-True_pool-avg_dr-0.1,0.001,Adam,0.1,7,TRUE,avg,0.805773343,29,0.867652298,0.797,0.802719868,0.797097258,0.798941073
opt-Adam_nb-7_bn-True_pool-none_dr-0.3,0.001,Adam,0.3,7,TRUE,none,0.699928724,36,0.748396865,0.675333333,0.672788584,0.673849443,0.6718359
opt-Adam_nb-7_bn-True_pool-max_dr-0.3,0.001,Adam,0.3,7,TRUE,max,0.790092659,18,0.815194157,0.785333333,0.786421283,0.786064332,0.785465948
opt-Adam_nb-7_bn-True_pool-avg_dr-0.3,0.001,Adam,0.3,7,TRUE,avg,0.799002138,20,0.834520841,0.784,0.788467573,0.784879023,0.785916124
opt-AdamW_nb-7_bn-True_pool-none_dr-0.0,0.001,AdamW,0,7,TRUE,none,0.688880969,16,0.653900962,0.673333333,0.67222569,0.673301312,0.670969651
opt-AdamW_nb-7_bn-True_pool-max_dr-0.0,0.001,AdamW,0,7,TRUE,max,0.768709907,27,0.562433203,0.750666667,0.758288952,0.7522259,0.753018815
opt-AdamW_nb-7_bn-True_pool-avg_dr-0.0,0.001,AdamW,0,7,TRUE,avg,0.787598004,20,0.763893837,0.776333333,0.780317575,0.778585656,0.778379573
opt-AdamW_nb-7_bn-True_pool-none_dr-0.1,0.001,AdamW,0.1,7,TRUE,none,0.703492516,21,0.685785536,0.681333333,0.681181196,0.680031176,0.676780469
opt-AdamW_nb-7_bn-True_pool-max_dr-0.1,0.001,AdamW,0.1,7,TRUE,max,0.738417676,5,0.575525472,0.738666667,0.748897114,0.740395994,0.740692898
opt-AdamW_nb-7_bn-True_pool-avg_dr-0.1,0.001,AdamW,0.1,7,TRUE,avg,0.79365645,22,0.814036338,0.780666667,0.781731565,0.781916587,0.781699097
opt-AdamW_nb-7_bn-True_pool-none_dr-0.3,0.001,AdamW,0.3,7,TRUE,none,0.67997149,16,0.653455647,0.655666667,0.65229661,0.655245891,0.651852474
opt-AdamW_nb-7_bn-True_pool-max_dr-0.3,0.001,AdamW,0.3,7,TRUE,max,0.75445474,10,0.615603848,0.742333333,0.747532884,0.741993216,0.742288702
opt-AdamW_nb-7_bn-True_pool-avg_dr-0.3,0.001,AdamW,0.3,7,TRUE,avg,0.799002138,25,0.857410046,0.783666667,0.787980492,0.783944534,0.785328225
